0,0,0,0
0.01,0.0001,0.02,3.33333e-07
0.02,0.0004,0.04,2.66667e-06
0.03,0.0009,0.06,9e-06
0.04,0.0016,0.08,2.13333e-05
0.05,0.0025,0.1,4.16667e-05
0.06,0.0036,0.12,7.2e-05
0.07,0.0049,0.14,0.000114333
0.08,0.0064,0.16,0.000170667
0.09,0.0081,0.18,0.000243
0.1,0.01,0.2,0.000333333
0.11,0.0121,0.22,0.000443667
0.12,0.0144,0.24,0.000576
0.13,0.0169,0.26,0.000732333
0.14,0.0196,0.28,0.000914667
0.15,0.0225,0.3,0.001125
0.16,0.0256,0.32,0.00136533
0.17,0.0289,0.34,0.00163767
0.18,0.0324,0.36,0.001944
0.19,0.0361,0.38,0.00228633
0.2,0.04,0.4,0.00266667
0.21,0.0441,0.42,0.003087
0.22,0.0484,0.44,0.00354933
0.23,0.0529,0.46,0.00405567
0.24,0.0576,0.48,0.004608
0.25,0.0625,0.5,0.00520833
0.26,0.0676,0.52,0.00585867
0.27,0.0729,0.54,0.006561
0.28,0.0784,0.56,0.00731733
0.29,0.0841,0.58,0.00812967
0.3,0.09,0.6,0.009
0.31,0.0961,0.62,0.00993033
0.32,0.1024,0.64,0.0109227
0.33,0.1089,0.66,0.011979
0.34,0.1156,0.68,0.0131013
0.35,0.1225,0.7,0.0142917
0.36,0.1296,0.72,0.015552
0.37,0.1369,0.74,0.0168843
0.38,0.1444,0.76,0.0182907
0.39,0.1521,0.78,0.019773
0.4,0.16,0.8,0.0213333
0.41,0.1681,0.82,0.0229737
0.42,0.1764,0.84,0.024696
0.43,0.1849,0.86,0.0265023
0.44,0.1936,0.88,0.0283947
0.45,0.2025,0.9,0.030375
0.46,0.2116,0.92,0.0324453
0.47,0.2209,0.94,0.0346077
0.48,0.2304,0.96,0.036864
0.49,0.2401,0.98,0.0392163
0.5,0.25,1,0.0416667
0.51,0.2601,1.02,0.044217
0.52,0.2704,1.04,0.0468693
0.53,0.2809,1.06,0.0496257
0.54,0.2916,1.08,0.052488
0.55,0.3025,1.1,0.0554583
0.56,0.3136,1.12,0.0585387
0.57,0.3249,1.14,0.061731
0.58,0.3364,1.16,0.0650373
0.59,0.3481,1.18,0.0684597
0.6,0.36,1.2,0.072
0.61,0.3721,1.22,0.0756603
0.62,0.3844,1.24,0.0794427
0.63,0.3969,1.26,0.083349
0.64,0.4096,1.28,0.0873813
0.65,0.4225,1.3,0.0915417
0.66,0.4356,1.32,0.095832
0.67,0.4489,1.34,0.100254
0.68,0.4624,1.36,0.104811
0.69,0.4761,1.38,0.109503
0.7,0.49,1.4,0.114333
0.71,0.5041,1.42,0.119304
0.72,0.5184,1.44,0.124416
0.73,0.5329,1.46,0.129672
0.74,0.5476,1.48,0.135075
0.75,0.5625,1.5,0.140625
0.76,0.5776,1.52,0.146325
0.77,0.5929,1.54,0.152178
0.78,0.6084,1.56,0.158184
0.79,0.6241,1.58,0.164346
0.8,0.64,1.6,0.170667
0.81,0.6561,1.62,0.177147
0.82,0.6724,1.64,0.183789
0.83,0.6889,1.66,0.190596
0.84,0.7056,1.68,0.197568
0.85,0.7225,1.7,0.204708
0.86,0.7396,1.72,0.212019
0.87,0.7569,1.74,0.219501
0.88,0.7744,1.76,0.227157
0.89,0.7921,1.78,0.23499
0.9,0.81,1.8,0.243
0.91,0.8281,1.82,0.25119
0.92,0.8464,1.84,0.259563
0.93,0.8649,1.86,0.268119
0.94,0.8836,1.88,0.276861
0.95,0.9025,1.9,0.285792
0.96,0.9216,1.92,0.294912
0.97,0.9409,1.94,0.304224
0.98,0.9604,1.96,0.313731
0.99,0.9801,1.98,0.323433
1,1,2,0.333333
